Kratica;Predmet;Skupaj
VIZ;Varnost in zaščita-vaje;VIZ-Varnost in zaščita-vaje
VNV;Varovanje naravnih vrednot in biotske raznovrstnosti-predavanja;VNV-Varovanje naravnih vrednot in biotske raznovrstnosti-predavanja
VNV;Varovanje naravnih vrednot in biotske raznovrstnosti-vaje;VNV-Varovanje naravnih vrednot in biotske raznovrstnosti-vaje
VPR;Vodja programskega področja UPK;VPR-Vodja programskega področja UPK
VRF;Varstvo rastlin s fitofarmacijo-predavanja;VRF-Varstvo rastlin s fitofarmacijo-predavanja
VRF;Varstvo rastlin s fitofarmacijo-sem vaje;VRF-Varstvo rastlin s fitofarmacijo-sem vaje
VRF;Varstvo rastlin s fitofarmacijo-vaje;VRF-Varstvo rastlin s fitofarmacijo-vaje
VSO;Vzdrževanje sistemske programske opreme-predavanja;VSO-Vzdrževanje sistemske programske opreme-predavanja
VSO;Vzdrževanje sistemske programske opreme-vaje;VSO-Vzdrževanje sistemske programske opreme-vaje
ZBP1;Zbirke podatkov I-predavanja;ZBP1-Zbirke podatkov I-predavanja
ZBP1;Zbirke podatkov I-vaje;ZBP1-Zbirke podatkov I-vaje
ZBP2;Zbirke podatkov II-predavanja;ZBP2-Zbirke podatkov II-predavanja
ZBP2;Zbirke podatkov II-vaje;ZBP2-Zbirke podatkov II-vaje
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
;;-
